Site_ID,Tipe_Action,Reason,Latitude_Target,Longitude_Target,Sector_Base_Target,Band_Rekomendasi,Arah_Azimuth,Jarak_ke_Site_meter,Jumlah_Grid_Lemah,Rata_Rata_RSRP,Geometry_Pancaran_Sektor_WKT
SDA380,Upgrade Band (Add Antenna/Module),Prioritas tambah band L2300 karena densitas pelanggan sangat tinggi.,-7.379015147,112.7627096,7,L2300,115,663.6,950,-105.8015368,"POLYGON ((112.758424 -7.374826, 112.7629530441039 -7.374826, 112.76293580972371 -7.37521812387629, 112.76288423774724 -7.3756072634531105, 112.76279872066834 -7.375990457143313, 112.76267990932364 -7.376364788611537, 112.76252870793918 -7.3767274089692805, 112.76234626724883 -7.377075558456665, 112.76213397573638 -7.377406587445876, 112.76189344906842 -7.377717976606421, 112.76162651779815 -7.378007356078768, 112.76133521343371 -7.3782725235104, 112.758424 -7.374826))"
SDA392,Upgrade Band (Add Antenna/Module),Menambahkan slot band yang tersedia: L1800.,-7.466333764,112.7146589,2,L1800,165,303.7,123,-105.7319791,"POLYGON ((112.716391 -7.46421, 112.71865598214754 -7.468106349541541, 112.71830544563613 -7.468287584693341, 112.71794033903745 -7.468437786963511, 112.71756344103319 -7.468555813222081, 112.71717762004474 -7.468640765217957, 112.71678581240276 -7.468691996415156, 112.716391 -7.468709116913332, 112.716391 -7.46421))"
PSN047,Upgrade Band (Add Antenna/Module),Menambahkan slot band yang tersedia: L1800.,-7.654124139,112.7006054,2,L1800,190,574.6,108,-105.8758455,"POLYGON ((112.699947 -7.648998, 112.70034198135642 -7.6534799964151565, 112.699947 -7.653497116913332, 112.69955201864357 -7.6534799964151565, 112.69916004333378 -7.653428765217957, 112.69877405723939 -7.653343813222081, 112.69839699794765 -7.653225786963511, 112.69803173510745 -7.653075584693341, 112.699947 -7.648998))"
SDA387,Upgrade Band (Add Antenna/Module),Prioritas tambah band L2300 karena densitas pelanggan sangat tinggi.,-7.449002795,112.6849331,3,L2300,325,418.9,83,-105.7346003,"POLYGON ((112.68699 -7.45217, 112.68351994148394 -7.449278023393578, 112.68378691964368 -7.448988643921232, 112.684078275179 -7.448723476489599, 112.68439179069837 -7.448484539182949, 112.68472508015937 -7.448273650458458, 112.68507560702794 -7.448092415306658, 112.68544070358297 -7.447942213036488, 112.68699 -7.45217))"
SDA398,Upgrade Band (Add Antenna/Module),Menambahkan slot band yang tersedia: L1800.,-7.38187475,112.7204133,2,L1800,180,758.1,60,-105.7164397,"POLYGON ((112.7242 -7.376184, 112.7253722064665 -7.380529813222082, 112.72498646266807 -7.380614765217958, 112.72459473341384 -7.380665996415157, 112.7242 -7.380683116913333, 112.72380526658615 -7.380665996415157, 112.72341353733192 -7.380614765217958, 112.72302779353349 -7.380529813222082, 112.7242 -7.376184))"
PSN008,Upgrade Band (Add Antenna/Module),Menambahkan slot band yang tersedia: L1800.,-7.653846105,112.9049911,1,L1800,100,491.4,57,-105.7244047,"POLYGON ((112.901286 -7.651387, 112.90580068284733 -7.650994876123709, 112.90581792820237 -7.651387, 112.90580068284733 -7.65177912387629, 112.90574907802979 -7.6521682634531105, 112.90566350649355 -7.652551457143313, 112.9055446194897 -7.652925788611537, 112.9053933218201 -7.6532884089692805, 112.901286 -7.651387))"
PSN435,Upgrade Band (Add Antenna/Module),Prioritas tambah band L2300 karena densitas pelanggan sangat tinggi.,-7.654546,112.682682,3,L2300,280,473.2,30,-105.3522016,"POLYGON ((112.686822 -7.653418, 112.68230729565043 -7.653810123876291, 112.68229005021325 -7.653418, 112.68230729565043 -7.65302587612371, 112.68235890071375 -7.6526367365468895, 112.68244447265754 -7.652253542856687, 112.68256336022762 -7.651879211388463, 112.68271465861781 -7.6515165910307195, 112.686822 -7.653418))"
SDA684,Upgrade Band (Add Antenna/Module),Menambahkan slot band yang tersedia: L1800.,-7.410814,112.729683,1,L1800,80,602.2,28,-105.257509,"POLYGON ((112.725273 -7.407619, 112.72937801270695 -7.40571759103072, 112.72952922531785 -7.406080211388463, 112.72964804548411 -7.406454542856687, 112.72973356891251 -7.40683773654689, 112.72978514471811 -7.40722687612371, 112.7298023803779 -7.407619, 112.72978514471811 -7.408011123876291, 112.725273 -7.407619))"
SDA443,Upgrade Band (Add Antenna/Module),Prioritas tambah band L2300 karena densitas pelanggan sangat tinggi.,-7.4727725,112.708569,1,L2300,100,389.5,20,-105.2563531,"POLYGON ((112.70639 -7.47553, 112.71090284331726 -7.47513787612371, 112.71092008164558 -7.47553, 112.71090284331726 -7.47592212387629, 112.71085125952635 -7.476311263453111, 112.71076572285668 -7.476694457143314, 112.71064688429392 -7.477068788611537, 112.7104956482713 -7.477431408969281, 112.70639 -7.47553))"
PSN144,Upgrade Band (Add Antenna/Module),Prioritas tambah band L2300 karena densitas pelanggan sangat tinggi.,-7.577265,112.7344895,3,L2300,350,311.5,20,-106.0484962,"POLYGON ((112.735 -7.58002, 112.73308504333298 -7.575942415306659, 112.73345024739106 -7.575792213036489, 112.73382724600226 -7.575674186777919, 112.73421316997953 -7.575589234782043, 112.73460508220833 -7.575538003584843, 112.735 -7.575520883086668, 112.73539491779167 -7.575538003584843, 112.735 -7.58002))"
